Title:,Time Series, Area-Averaged of Aerosol Optical Depth 550 nm (Deep Blue, Land-only) daily 1 ()
User Start Date:,2015-12-31T00:00:00Z
User End Date:,2019-06-26T23:59:59Z
User Bounding Box:,"77.1939,28.6336,77.2089,28.6405"
Data Bounding Box:,"77.5,28.5,77.5,28.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni//#service=ArAvTs&starttime=2015-12-31T00:00:00Z&endtime=2019-06-26T23:59:59Z&bbox=77.1939,28.6336,77.2089,28.6405&data=MOD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean&variableFacets=dataFieldMeasurement%3AAerosol%20Optical%20Depth%2CAir%20Temperature%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MOD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean): -9999

time, mean_MOD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean
2015-12-31,0.64200003
2016-01-01,0.746000035
2016-01-02,0.742000035
2016-01-03,0.84100004
2016-01-04,0.759000036
2016-01-05,0.886000042
2016-01-06,1.13300005
2016-01-07,1.22700006
2016-01-08,2.79600013
2016-01-09,0.322000015
2016-01-10,0.520000025
2016-01-11,0.559000027
2016-01-12,0.721000034
2016-01-13,0.905000043
2016-01-14,-9999
2016-01-15,-9999
2016-01-16,-9999
2016-01-17,1.75000008
2016-01-18,0.760000036
2016-01-19,-9999
2016-01-20,-9999
2016-01-21,-9999
2016-01-22,-9999
2016-01-23,0.560000027
2016-01-24,-9999
2016-01-25,0.739000035
2016-01-26,-9999
2016-01-27,0.915000043
2016-01-28,1.00700005
2016-01-29,1.13100005
2016-01-30,0.890000042
2016-01-31,1.09300005
2016-02-01,0.302000014
2016-02-02,0.435000021
2016-02-03,0.41600002
2016-02-04,0.383000018
2016-02-05,0.446000021
2016-02-06,0.677000032
2016-02-07,1.49200007
2016-02-08,0.467000022
2016-02-09,0.574000027
2016-02-10,0.63100003
2016-02-11,0.860000041
2016-02-12,0.699000033
2016-02-13,0.753000036
2016-02-14,0.592000028
2016-02-15,-9999
2016-02-16,0.592000028
2016-02-17,0.774000037
2016-02-18,-9999
2016-02-28,0.758000036
2016-02-29,0.717000034
2016-03-01,0.809000038
2016-03-02,0.526000025
2016-03-03,0.62500003
2016-03-04,0.385000018
2016-03-05,0.706000034
2016-03-06,-9999
2016-03-07,0.62700003
2016-03-08,0.718000034
2016-03-09,0.540000026
2016-03-10,0.717000034
2016-03-11,-9999
2016-03-12,0.479000023
2016-03-13,0.395000019
2016-03-14,0.686000033
2016-03-15,0.562000027
2016-03-16,0.364000017
2016-03-17,0.496000024
2016-03-18,0.42700002
2016-03-19,0.776000037
2016-03-20,0.435000021
2016-03-21,0.366000017
2016-03-22,0.173000008
2016-03-23,0.240000011
2016-03-24,0.510000024
2016-03-25,0.598000028
2016-03-26,0.814000039
2016-03-27,0.325000015
2016-03-28,0.268000013
2016-03-29,0.433000021
2016-03-30,-9999
2016-03-31,0.482000023
2016-04-01,0.529000025
2016-04-02,0.551000026
2016-04-03,0.579000028
2016-04-04,0.467000022
2016-04-05,-9999
2016-04-06,-9999
2016-04-07,0.403000019
2016-04-08,0.311000015
2016-04-09,0.341000016
2016-04-10,-9999
2016-04-11,0.457000022
2016-04-12,0.185000009
2016-04-13,0.301000014
2016-04-14,0.224000011
2016-04-15,-9999
2016-04-16,0.449000021
2016-04-17,-9999
2016-04-18,0.653000031
2016-04-19,0.697000033
2016-04-20,0.883000042
2016-04-21,0.286000014
2016-04-22,0.582000028
2016-04-23,0.389000018
2016-04-24,0.462000022
2016-04-25,0.469000022
2016-04-26,0.611000029
2016-04-27,0.736000035
2016-04-28,0.557000026
2016-04-29,0.564000027
2016-04-30,0.972000046
2016-05-01,0.619000029
2016-05-02,0.502000024
2016-05-03,-9999
2016-05-04,0.676000032
2016-05-05,0.581000028
2016-05-06,0.63600003
2016-05-07,1.24500006
2016-05-08,1.35800006
2016-05-09,1.45300007
2016-05-10,1.31900006
2016-05-11,0.595000028
2016-05-12,0.992000047
2016-05-13,0.534000025
2016-05-14,0.381000018
2016-05-15,0.560000027
2016-05-16,0.370000018
2016-05-17,0.382000018
2016-05-18,0.296000014
2016-05-19,0.609000029
2016-05-20,0.619000029
2016-05-21,0.510000024
2016-05-22,0.599000028
2016-05-23,0.62200003
2016-05-24,0.938000045
2016-05-25,1.09600005
2016-05-26,1.10000005
2016-05-27,0.937000045
2016-05-28,1.74600008
2016-05-29,1.15800006
2016-05-30,-9999
2016-05-31,1.04900005
2016-06-01,0.531000025
2016-06-02,0.855000041
2016-06-03,0.668000032
2016-06-04,0.743000035
2016-06-05,0.825000039
2016-06-06,0.393000019
2016-06-07,0.83700004
2016-06-08,0.612000029
2016-06-09,0.988000047
2016-06-10,0.805000038
2016-06-11,1.04300005
2016-06-12,0.763000036
2016-06-13,1.34800006
2016-06-14,-9999
2016-06-15,1.27000006
2016-06-16,1.56700007
2016-06-17,0.883000042
2016-06-18,1.25300006
2016-06-19,-9999
2016-06-20,-9999
2016-06-21,1.18500006
2016-06-22,-9999
2016-06-23,-9999
2016-06-24,1.08900005
2016-06-25,1.29700006
2016-06-26,1.65000008
2016-06-27,-9999
2016-06-28,-9999
2016-06-29,0.805000038
2016-06-30,0.894000042
2016-07-01,-9999
2016-07-02,-9999
2016-07-03,-9999
2016-07-04,-9999
2016-07-05,1.26800006
2016-07-06,-9999
2016-07-07,-9999
2016-07-08,-9999
2016-07-09,1.14000005
2016-07-10,-9999
2016-07-11,-9999
2016-07-12,-9999
2016-07-13,-9999
2016-07-14,-9999
2016-07-15,-9999
2016-07-16,-9999
2016-07-17,-9999
2016-07-18,-9999
2016-07-19,0.679000032
2016-07-20,0.959000046
2016-07-21,0.962000046
2016-07-22,-9999
2016-07-23,1.25100006
2016-07-24,-9999
2016-07-25,-9999
2016-07-26,-9999
2016-07-27,-9999
2016-07-28,-9999
2016-07-29,-9999
2016-07-30,-9999
2016-07-31,-9999
2016-08-01,-9999
2016-08-02,-9999
2016-08-03,0.604000029
2016-08-04,-9999
2016-08-05,-9999
2016-08-06,-9999
2016-08-07,-9999
2016-08-08,-9999
2016-08-09,-9999
2016-08-10,-9999
2016-08-11,-9999
2016-08-12,-9999
2016-08-13,-9999
2016-08-14,-9999
2016-08-15,0.809000038
2016-08-16,0.795000038
2016-08-17,-9999
2016-08-18,-9999
2016-08-19,-9999
2016-08-20,-9999
2016-08-21,0.514000024
2016-08-22,-9999
2016-08-23,-9999
2016-08-24,-9999
2016-08-25,-9999
2016-08-26,-9999
2016-08-27,0.255000012
2016-08-28,0.770000037
2016-08-29,-9999
2016-08-30,-9999
2016-08-31,-9999
2016-09-01,-9999
2016-09-02,-9999
2016-09-03,0.336000016
2016-09-04,0.729000035
2016-09-05,0.462000022
2016-09-06,0.808000038
2016-09-07,0.666000032
2016-09-08,0.740000035
2016-09-09,0.613000029
2016-09-10,0.390000019
2016-09-11,0.579000028
2016-09-12,0.472000022
2016-09-13,0.787000037
2016-09-14,-9999
2016-09-15,0.83800004
2016-09-16,0.601000029
2016-09-17,0.760000036
2016-09-18,-9999
2016-09-19,0.619000029
2016-09-20,0.749000036
2016-09-21,0.928000044
2016-09-22,-9999
2016-09-23,-9999
2016-09-24,-9999
2016-09-25,-9999
2016-09-26,-9999
2016-09-27,1.12900005
2016-09-28,0.774000037
2016-09-29,1.81300009
2016-09-30,-9999
2016-10-01,2.29400011
2016-10-02,-9999
2016-10-03,1.72000008
2016-10-04,1.03400005
2016-10-05,-9999
2016-10-06,1.21600006
2016-10-07,0.926000044
2016-10-08,0.84300004
2016-10-09,0.727000035
2016-10-10,-9999
2016-10-11,0.556000026
2016-10-12,0.380000018
2016-10-13,0.367000017
2016-10-14,0.305000014
2016-10-15,0.734000035
2016-10-16,0.490000023
2016-10-17,0.686000033
2016-10-18,0.696000033
2016-10-19,0.708000034
2016-10-20,0.438000021
2016-10-21,0.310000015
2016-10-22,0.533000025
2016-10-23,1.09800005
2016-10-24,0.859000041
2016-10-25,0.465000022
2016-10-26,1.17000006
2016-10-27,0.698000033
2016-10-28,0.891000042
2016-10-29,1.80400009
2016-10-30,1.19600006
2016-10-31,1.17200006
2016-11-01,1.12300005
2016-11-02,2.0370001
2016-11-03,0.63800003
2016-11-04,1.69200008
2016-11-05,3.43300016
2016-11-06,3.24900015
2016-11-07,2.44500012
2016-11-08,0.887000042
2016-11-09,1.29700006
2016-11-10,1.82800009
2016-11-11,1.51900007
2016-11-12,0.901000043
2016-11-13,0.773000037
2016-11-14,0.950000045
2016-11-15,1.09700005
2016-11-16,0.925000044
2016-11-17,0.683000032
2016-11-18,0.817000039
2016-11-19,0.880000042
2016-11-20,0.949000045
2016-11-21,0.672000032
2016-11-22,0.261000012
2016-11-23,0.541000026
2016-11-24,0.601000029
2016-11-25,0.306000015
2016-11-26,0.276000013
2016-11-27,0.329000016
2016-11-28,0.254000012
2016-11-29,0.483000023
2016-11-30,0.956000045
2016-12-01,0.863000041
2016-12-02,2.1120001
2016-12-03,0.516000025
2016-12-04,0.62800003
2016-12-05,0.569000027
2016-12-06,-9999
2016-12-07,1.08300005
2016-12-08,-9999
2016-12-09,1.73100008
2016-12-10,0.728000035
2016-12-11,1.99600009
2016-12-12,0.41500002
2016-12-13,0.668000032
2016-12-14,0.446000021
2016-12-15,0.292000014
2016-12-16,0.41200002
2016-12-17,0.612000029
2016-12-18,0.586000028
2016-12-19,0.526000025
2016-12-20,0.497000024
2016-12-21,0.237000011
2016-12-22,0.520000025
2016-12-23,0.660000031
2016-12-24,0.774000037
2016-12-25,2.35100011
2016-12-26,0.42700002
2016-12-27,0.455000022
2016-12-28,0.532000025
2016-12-29,-9999
2016-12-30,-9999
2016-12-31,-9999
2017-01-01,0.727000035
2017-01-02,0.545000026
2017-01-03,0.621000029
2017-01-04,0.575000027
2017-01-05,0.766000036
2017-01-06,0.709000034
2017-01-07,-9999
2017-01-08,0.667000032
2017-01-09,0.395000019
2017-01-10,0.307000015
2017-01-11,0.368000017
2017-01-12,0.699000033
2017-01-13,0.553000026
2017-01-14,0.579000028
2017-01-15,0.507000024
2017-01-16,0.690000033
2017-01-17,0.553000026
2017-01-18,-9999
2017-01-19,0.520000025
2017-01-20,0.247000012
2017-01-21,-9999
2017-01-22,0.903000043
2017-01-23,0.644000031
2017-01-24,0.694000033
2017-01-25,-9999
2017-01-26,-9999
2017-01-27,-9999
2017-01-28,-9999
2017-01-29,1.04200005
2017-01-30,-9999
2017-01-31,0.758000036
2017-02-01,0.335000016
2017-02-02,0.505000024
2017-02-03,0.510000024
2017-02-04,-9999
2017-02-05,-9999
2017-02-06,2.47600012
2017-02-07,0.278000013
2017-02-08,-9999
2017-02-09,0.526000025
2017-02-10,0.288000014
2017-02-11,0.443000021
2017-02-12,0.648000031
2017-02-13,0.523000025
2017-02-14,0.316000015
2017-02-15,0.529000025
2017-02-16,0.345000016
2017-02-17,-9999
2017-02-18,0.465000022
2017-02-19,0.347000016
2017-02-20,0.62900003
2017-02-21,0.799000038
2017-02-22,0.343000016
2017-02-23,0.250000012
2017-02-24,0.241000011
2017-02-25,0.283000013
2017-02-26,0.198000009
2017-02-27,0.371000018
2017-02-28,0.371000018
2017-03-01,-9999
2017-03-02,0.441000021
2017-03-03,0.303000014
2017-03-04,0.235000011
2017-03-05,0.150000007
2017-03-06,0.372000018
2017-03-07,0.320000015
2017-03-08,0.527000025
2017-03-09,0.562000027
2017-03-10,0.684000032
2017-03-11,0.508000024
2017-03-12,0.446000021
2017-03-13,0.384000018
2017-03-14,0.313000015
2017-03-15,0.542000026
2017-03-16,0.451000021
2017-03-17,0.525000025
2017-03-18,0.408000019
2017-03-19,-9999
2017-03-20,0.567000027
2017-03-21,0.359000017
2017-03-22,0.523000025
2017-03-23,0.448000021
2017-03-24,0.863000041
2017-03-25,0.244000012
2017-03-26,0.362000017
2017-03-27,0.273000013
2017-03-28,0.598000028
2017-03-29,0.448000021
2017-03-30,0.21400001
2017-03-31,-9999
2017-04-01,0.259000012
2017-04-02,0.331000016
2017-04-03,0.331000016
2017-04-04,-9999
2017-04-05,0.594000028
2017-04-06,0.304000014
2017-04-07,1.26300006
2017-04-08,0.288000014
2017-04-09,0.278000013
2017-04-10,0.184000009
2017-04-11,-9999
2017-04-12,0.499000024
2017-04-13,0.408000019
2017-04-14,0.448000021
2017-04-15,0.507000024
2017-04-16,0.314000015
2017-04-17,0.43100002
2017-04-18,0.675000032
2017-04-19,0.456000022
2017-04-20,0.619000029
2017-04-21,0.933000044
2017-04-22,0.994000047
2017-04-23,0.662000031
2017-04-24,-9999
2017-04-25,0.529000025
2017-04-26,0.344000016
2017-04-27,0.456000022
2017-04-28,0.889000042
2017-04-29,0.672000032
2017-04-30,0.725000034
2017-05-01,0.232000011
2017-05-02,0.526000025
2017-05-03,-9999
2017-05-04,0.613000029
2017-05-05,0.590000028
2017-05-06,0.644000031
2017-05-07,0.702000033
2017-05-08,0.63200003
2017-05-09,0.445000021
2017-05-10,0.556000026
2017-05-11,0.595000028
2017-05-12,0.749000036
2017-05-13,0.691000033
2017-05-14,0.583000028
2017-05-15,0.602000029
2017-05-16,0.720000034
2017-05-17,-9999
2017-05-18,0.575000027
2017-05-19,0.379000018
2017-05-20,0.83600004
2017-05-21,0.911000043
2017-05-22,-9999
2017-05-23,0.658000031
2017-05-24,0.471000022
2017-05-25,0.621000029
2017-05-26,0.453000022
2017-05-27,0.674000032
2017-05-28,0.64200003
2017-05-29,-9999
2017-05-30,0.615000029
2017-05-31,-9999
2017-06-01,-9999
2017-06-02,0.327000016
2017-06-03,0.174000008
2017-06-04,0.226000011
2017-06-05,1.18500006
2017-06-06,1.35800006
2017-06-07,-9999
2017-06-08,-9999
2017-06-09,-9999
2017-06-10,-9999
2017-06-11,0.347000016
2017-06-12,0.448000021
2017-06-13,0.529000025
2017-06-14,0.689000033
2017-06-15,0.63700003
2017-06-16,-9999
2017-06-17,0.990000047
2017-06-18,0.647000031
2017-06-19,-9999
2017-06-20,0.746000035
2017-06-21,1.04700005
2017-06-22,-9999
2017-06-23,0.948000045
2017-06-24,0.797000038
2017-06-25,0.715000034
2017-06-26,1.00800005
2017-06-27,-9999
2017-06-28,-9999
2017-06-29,-9999
2017-06-30,-9999
2017-07-01,-9999
2017-07-02,-9999
2017-07-03,-9999
2017-07-04,-9999
2017-07-05,2.0920001
2017-07-06,-9999
2017-07-07,1.54200007
2017-07-08,0.958000046
2017-07-09,1.03200005
2017-07-10,-9999
2017-07-11,-9999
2017-07-12,-9999
2017-07-13,-9999
2017-07-14,-9999
2017-07-15,-9999
2017-07-16,-9999
2017-07-17,-9999
2017-07-18,-9999
2017-07-19,0.512000024
2017-07-20,-9999
2017-07-21,-9999
2017-07-22,-9999
2017-07-23,-9999
2017-07-24,-9999
2017-07-25,-9999
2017-07-26,-9999
2017-07-27,-9999
2017-07-28,-9999
2017-07-29,-9999
2017-07-30,-9999
2017-07-31,-9999
2017-08-01,-9999
2017-08-02,-9999
2017-08-03,3.49900017
2017-08-04,-9999
2017-08-05,-9999
2017-08-06,1.21500006
2017-08-07,-9999
2017-08-08,-9999
2017-08-09,-9999
2017-08-10,-9999
2017-08-11,1.20400006
2017-08-12,-9999
2017-08-13,-9999
2017-08-14,-9999
2017-08-15,0.888000042
2017-08-16,0.588000028
2017-08-17,0.812000039
2017-08-18,0.769000037
2017-08-19,-9999
2017-08-20,-9999
2017-08-21,-9999
2017-08-22,-9999
2017-08-23,0.905000043
2017-08-24,-9999
2017-08-25,-9999
2017-08-26,-9999
2017-08-27,0.42800002
2017-08-28,-9999
2017-08-29,-9999
2017-08-30,-9999
2017-08-31,-9999
2017-09-01,-9999
2017-09-02,-9999
2017-09-03,-9999
2017-09-04,0.544000026
2017-09-05,0.598000028
2017-09-06,0.444000021
2017-09-07,-9999
2017-09-08,0.63800003
2017-09-09,0.777000037
2017-09-10,0.614000029
2017-09-11,0.722000034
2017-09-12,0.559000027
2017-09-13,0.868000041
2017-09-14,0.986000047
2017-09-15,0.475000023
2017-09-16,-9999
2017-09-17,0.63200003
2017-09-18,0.497000024
2017-09-19,0.84000004
2017-09-20,2.93600014
2017-09-21,0.614000029
2017-09-22,-9999
